variation,expiration,underlying,bid.put,ask.put,mid.put,bid.call,ask.call,mid.call,strangle_unity_mult,strangle_prem_sold,put_unity_mult,put_prem_sold,call_unity_mult,call_prem_sold
0.1,2017-01-20,DIA,0.44,0.51,0.475,0.21,0.26,0.235,1.4084507042253522,0.915492957746479,2.1052631578947367,0.9263157894736842,2.1052631578947367,0.8936170212765958
0.1,2017-01-20,DUST,8.8,10.6,9.7,8.1,11,9.55,0.05194805194805195,0.8779220779220779,0.10309278350515465,0.9072164948453609,0.10309278350515465,0.8481675392670156
0.1,2017-01-20,DXJ,0.06,0.25,0.155,0.04,0.18,0.11,3.773584905660377,0.37735849056603776,6.451612903225807,0.3870967741935484,6.451612903225807,0.36363636363636365
0.1,2017-01-20,EEM,0.1,0.12,0.11,0.08,0.12,0.1,4.761904761904762,0.857142857142857,9.090909090909092,0.9090909090909092,9.090909090909092,0.7999999999999999
0.1,2017-01-20,EFA,0.11,0.15,0.13,0.03,0.08,0.055,5.405405405405405,0.7567567567567568,7.692307692307692,0.8461538461538461,7.692307692307692,0.5454545454545454
0.1,2017-01-20,ERX,0.25,0.6,0.425,0.15,0.45,0.3,1.3793103448275863,0.5517241379310345,2.3529411764705883,0.5882352941176471,2.3529411764705883,0.5
0.1,2017-01-20,EWJ,0.11,0.15,0.13,0.11,0.14,0.125,3.9215686274509802,0.8627450980392157,7.692307692307692,0.8461538461538461,7.692307692307692,0.88
0.1,2017-01-20,EWW,0.11,0.18,0.145,0.09,0.15,0.12,3.773584905660377,0.7547169811320755,6.8965517241379315,0.7586206896551725,6.8965517241379315,0.75
0.1,2017-01-20,EWY,0.16,0.27,0.21500000000000002,0.11,0.19,0.15,2.73972602739726,0.7397260273972603,4.651162790697674,0.7441860465116278,4.651162790697674,0.7333333333333334
0.1,2017-01-20,EWZ,0.19,0.23,0.21000000000000002,0.09,0.13,0.11,3.125,0.8750000000000001,4.761904761904762,0.9047619047619047,4.761904761904762,0.8181818181818181
0.1,2017-01-20,FAS,0.31,0.36,0.33499999999999996,0.14,0.29,0.215,1.8181818181818183,0.8181818181818183,2.985074626865672,0.9253731343283583,2.985074626865672,0.6511627906976745
0.1,2017-01-20,FAZ,0.33,0.4,0.365,0.27,0.35,0.31,1.4814814814814814,0.888888888888889,2.73972602739726,0.904109589041096,2.73972602739726,0.870967741935484
0.1,2017-01-20,FXE,0.21,0.23,0.22,0.1,0.13,0.115,2.9850746268656714,0.9253731343283581,4.545454545454546,0.9545454545454545,4.545454545454546,0.8695652173913043
0.1,2017-01-20,FXI,0.11,0.13,0.12,0.09,0.11,0.1,4.545454545454546,0.9090909090909092,8.333333333333334,0.9166666666666667,8.333333333333334,0.8999999999999999
0.1,2017-01-20,FXY,0.1,0.2,0.15000000000000002,0.1,0.15,0.125,3.6363636363636362,0.7272727272727273,6.666666666666666,0.6666666666666666,6.666666666666666,0.8
0.1,2017-01-20,GDX,0.16,0.2,0.18,0.12,0.17,0.14500000000000002,3.0769230769230766,0.8615384615384616,5.555555555555555,0.888888888888889,5.555555555555555,0.8275862068965516
0.1,2017-01-20,GDXJ,0.15,0.45,0.3,0.15,0.35,0.25,1.8181818181818181,0.5454545454545454,3.3333333333333335,0.5,3.3333333333333335,0.6
0.1,2017-01-20,GLD,0.28,0.3,0.29000000000000004,0.25,0.27,0.26,1.8181818181818181,0.9636363636363636,3.4482758620689653,0.9655172413793103,3.4482758620689653,0.9615384615384615
0.1,2017-01-20,HYG,0.07,0.2,0.135,0.03,0.15,0.09,4.444444444444445,0.4444444444444445,7.4074074074074066,0.5185185185185185,7.4074074074074066,0.3333333333333333
0.1,2017-01-20,IWM,0.41,0.44,0.425,0.3,0.32,0.31,1.3605442176870748,0.9659863945578231,2.3529411764705883,0.9647058823529412,2.3529411764705883,0.9677419354838709
0.1,2017-01-20,IYR,0.22,0.26,0.24,0.15,0.17,0.16,2.5,0.9249999999999999,4.166666666666667,0.9166666666666667,4.166666666666667,0.9375
0.1,2017-01-20,KBE,0.15,0.4,0.275,0.05,0.15,0.1,2.6666666666666665,0.5333333333333333,3.6363636363636362,0.5454545454545454,3.6363636363636362,0.5
0.1,2017-01-20,KRE,0.2,0.23,0.21500000000000002,0.15,0.17,0.16,2.6666666666666665,0.9333333333333332,4.651162790697674,0.9302325581395349,4.651162790697674,0.9375
0.1,2017-01-20,LQD,0.15,0.25,0.2,0.1,0.2,0.15000000000000002,2.8571428571428568,0.7142857142857142,5,0.7499999999999999,5,0.6666666666666666
0.1,2017-01-20,OIH,0.17,0.19,0.18,0.09,0.1,0.095,3.6363636363636362,0.9454545454545454,5.555555555555555,0.9444444444444445,5.555555555555555,0.9473684210526315
0.1,2017-01-20,QQQ,0.32,0.33,0.325,0.21,0.22,0.215,1.8518518518518516,0.9814814814814815,3.0769230769230766,0.9846153846153846,3.0769230769230766,0.9767441860465116
0.1,2017-01-20,SLV,0.05,0.06,0.055,0.07,0.08,0.07500000000000001,7.692307692307692,0.9230769230769231,18.181818181818183,0.9090909090909092,18.181818181818183,0.9333333333333332
